state-city,start_zipcode,end_zipcode
AR-Camden,71701,71711
AR-Camp,72520,72520
AR-Canehill,72717,72717
AR-Caraway,72419,72419
AR-Carlisle,72024,72024
AR-Carthage,71725,71725
AR-Casa,72025,72025
AR-Cash,72421,72421
AR-Casscoe,72026,72026
AR-Cave City,72521,72521
AR-Cave Springs,72718,72718
AR-Cecil,72930,72930
AR-Cedarville,72932,72932
AR-Center Ridge,72027,72027
AR-Centerton,72719,72719
AR-Centerville,72829,72829
AR-Charleston,72933,72933
AR-Charlotte,72522,72522
AR-Cherokee Village,72525,72529
AR-Cherry Valley,72324,72324
AR-Chester,72934,72934
AR-Chidester,71726,71726
AR-Choctaw,72028,72028
AR-Clarendon,72029,72029
AR-Clarkedale,72325,72325
AR-Clarkridge,72623,72623
AR-Clarksville,72830,72830
AR-Cleveland,72030,72030
AR-Clinton,72031,72031
AR-Coal Hill,72832,72832
AR-College Station,72053,72053
AR-Colt,72326,72326
AR-Columbus,71831,71831
AR-Combs,72721,72721
AR-Compton,72624,72624
AR-Concord,72523,72523
AR-Conway,72032,72035
AR-Cord,72524,72524
AR-Corning,72422,72422
AR-Cotter,72626,72626
AR-Cotton Plant,72036,72036
AR-Cove,71937,71937
AR-Coy,72037,72037
AR-Crawfordsville,72327,72327
AR-Crocketts Bluff,72038,72038
AR-Crossett,71635,71635
AR-Crumrod,72328,72328
AR-Curtis,71728,71728
AR-Cushman,72526,72526
AR-Damascus,72039,72039
AR-Danville,72833,72833
AR-Dardanelle,72834,72834
AR-Datto,72424,72424
AR-De Queen,71832,71832
AR-De Valls Bluff,72041,72041
AR-De Witt,72042,72042
AR-Decatur,72722,72722
AR-Deer,72628,72628
